,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.239999999998
docker_002,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.2000000000035
docker_003,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,904.75,0.0
docker_004,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,550.2800000000007,0.0
docker_005,0.0,0.0,39.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,39.0,38.0,0.0,8.0,0.0,0.0,0.0,0.0
docker_007,38.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
docker_008,40.0,34.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
db_003,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0
db_007,84.0,74.0,84.0,82.82999999999993,0.0,0.0,0.0,0.0,0.0,0.0
db_009,82.0,62.0,73.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,176.0,165.0,169.0,163.0,0.0,0.0,0.0,0.0,389.3199999999997,495.0100000000002
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.65999999999985,195.0
fly_remote,93.0,86.0,95.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
