,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.1680000000015
docker_002,0.0,193.14700000000448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.4400000000005
docker_003,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,1512.050000000043,0.0
docker_004,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,1083.200000000019,0.0
docker_005,0.0,0.0,70.0,63.9320000000007,19.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,82.92400000000089,76.0,0.0,16.0,0.0,0.0,0.0,0.0
docker_007,73.03100000000086,56.0,0.0,0.0,0.0,0.0,16.87600000000384,0.0,0.0,0.0
docker_008,78.31600000000253,74.84400000000096,0.0,0.0,0.0,0.0,0.0,12.9220000000023,0.0,0.0
db_003,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0
db_007,94.0,91.87900000000081,100.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
db_009,92.0,90.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,359.7630000000154,312.00900000005277,357.89700000000084,366.8950000000059,0.0,0.0,0.0,0.0,1552.422000000006,1912.4720000000088
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0300000000716,1184.9670000000006
fly_remote,99.0,124.60000000002037,198.47500000000036,148.78800000001684,0.0,0.0,0.0,0.0,0.0,0.0
